target_month,коэф1_total,коэф2_total,base1_total,base2_total,коэф1_Васильев Артем Александрович,коэф1_Кузнецов Михаил Иванович,коэф1_Михайлов Андрей Сергеевич,коэф1_Попова Екатерина Николаевна,коэф1_Смирнова Ольга Владимировна,коэф1_Соколова Анастасия Викторовна,коэф1_Иванова Мария Сергеевна,коэф2_Васильев Артем Александрович,коэф2_Кузнецов Михаил Иванович,коэф2_Попова Екатерина Николаевна,коэф2_Смирнова Ольга Владимировна,коэф2_Соколова Анастасия Викторовна,коэф2_Иванова Мария Сергеевна,коэф2_Михайлов Андрей Сергеевич,коэф1_Петрова Анна Дмитриевна,коэф1_year,коэф2_year,%_изменения_коэф1
февраль 2023,0.7378930125843663,,2549075.5,,1.155760521008959,0.8469549467964682,0.9036449656826814,0.0,0.0,0.2347344721918677,,,,,,,,,,0.5218441290166477,0.0638177765468979,
март 2023,0.6330035544307931,0.16166210920685742,1843217.77,760840.5,0.5526489683963185,,2.4305770172992123,0.6845232653807478,,0.9392194718334138,0.4460744555188425,0.7078232898172324,0.0,0.0,1.1505208333333334,0.0,,,,0.5218441290166477,0.0638177765468979,-14.214724406484436
апрель 2023,0.4847799793464496,0.09230009478521987,2618436.0,627735.0,0.49563586037083296,0.0,1.0988393204263438,0.2893615912673084,0.9661026054257319,1.0658346153749627,0.12520499207827224,0.11020341027468611,,0.19090664514393327,,0.0,0.0,,,0.5218441290166477,0.0638177765468979,-23.41591513141321
май 2023,0.4927118863121695,0.0,1512668.5,1282195.9,0.19383839002734904,,1.3308369178592108,0.7126297933586923,,0.09654764253304399,,0.0,0.0,0.0,,0.0,0.0,,,0.5218441290166477,0.0638177765468979,1.636186992790667
июнь 2023,0.198282982067214,0.04002461618794086,1182693.5299999998,965218.5,0.31231703899789537,,0.0,0.0,0.0,0.7664224952741021,0.0,0.061481622354117915,,0.0,,0.0,,0.0,,0.5218441290166477,0.0638177765468979,-59.75680969433989
июль 2023,0.38427061102409626,0.11013241285547172,1355516.1,983225.53,0.8610102244440561,,1.1975246274311695,0.09605189297074783,0.0,0.105650386324003,0.22188471371329085,0.0,,0.9771414217533283,0.5162791441753317,0.0,0.0,0.0,,0.5218441290166477,0.0638177765468979,93.79908805982961
август 2023,0.3454791052073535,0.0,1332653.33,931746.1,0.297029702970297,,,0.3089528720813637,0.37252856263255113,0.3385006077229111,0.4511994333583266,0.0,,0.0,0.0,0.0,0.0,,,0.5218441290166477,0.0638177765468979,-10.094840641953306
сентябрь 2023,0.4383663114929704,0.0,2115914.01,717107.13,0.1608674609942154,,,0.977227440933675,0.6108274701183078,0.47527439321090015,0.9985489020025152,0.0,,0.0,0.0,0.0,0.0,,,0.5218441290166477,0.0638177765468979,26.88649035080337
октябрь 2023,0.8618549365423782,0.06962315394126682,1663092.58,1178056.37,0.0,,0.0,0.7299156953647822,1.2244524400014967,0.6891025245887896,0.0,0.09010513364166675,,,0.0,0.0,,,,0.5218441290166477,0.0638177765468979,96.60610634222945
ноябрь 2023,0.6687242678748598,0.0,1075209.97,437211.51,0.7237101199112336,0.9534111103467954,,,0.843110205361342,0.270590535784122,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.5218441290166477,0.0638177765468979,-22.408721059523916
декабрь 2023,0.20297453476089466,0.3441778633243359,1119808.06,332502.5,0.0,0.0,0.0,0.6001238280558995,0.06958942240779402,0.1470155836518671,,0.8884829108624496,,,0.6117111995451961,0.0,,,1.1111818218738578,0.5218441290166477,0.0638177765468979,-69.64749979749833
